county,state_id,lat,lng
St. Landry,LA,30.5989,-92.0058
Manitowoc,WI,44.12,-87.8097
Talladega,AL,33.3801,-86.1659
James City,VA,37.3289,-76.7789
Floyd,IN,38.3187,-85.907
Bedford,VA,37.3152,-79.5242
Caldwell,NC,35.953,-81.5464
Oconee,SC,34.7535,-83.0659
Kosciusko,IN,41.2441,-85.8607
Walker,TX,30.739,-95.5723
Chelan,WA,47.8692,-120.619
Chatham,NC,35.7026,-79.2554
Natrona,WY,42.9622,-106.7986
Umatilla,OR,45.5919,-118.7369
Sullivan,NY,41.7164,-74.7681
Clinton,MI,42.9437,-84.6015
Lynchburg,VA,37.4004,-79.1908
Tooele,UT,40.4487,-113.1311
Wilson,NC,35.7051,-77.9187
